"id","comment"
,"Hi Pika Movie, bisa mengikuti panduan yang ada di sini: http://maribelajar.org/webinar/7-langkah-memulai-menerapkan-office-365-for-education-di-sekolah/"
"yqneYuJ_km8",
"yl-_iMLHxEY",
"wpEsKDJBuYE",
"jbQ36ckTDvU",
"Mj2tidBXcu4",
"b5JY3FaPpTk",
"_yi8YxBl5iA",
"gscP-JpwZjA",
"kh0VMeisHY8",
"GdGI8Qi5yKI",
"SBp9wL1o7WQ",
"oBHY0ecfThw",
"V5TwlVxxLnQ",
"fBnwm8nZ_vU",
"zwcuonP7eD8",
"_cWRxEQUpRQ",
"Yp7WjkAw-IA",
"26sH1BCo-s4",
"oXv42-bC8DM",
"8GZb7k2UK0E",
"dFV5G5FUibE",
"a1FUzaveaho",
"WVMdv0PysLA",
"IqvQ9FSZYMk",
"ZNmYJBOMJZs",
"0HuW8MtIOYE",
"PSe9FLeHEPw",
"uvskL-2gvXE",
"jh3WSJp9b_o",
"5xVr0dcsBi4",
"gqWAYt4twWk",
"IeaT-dMyBqw",
"ZB8ztNFCTpE",
"2Cn_WbrISPg",
"tMDr5w-Oe7A",
"mZ8EEmnSnQI",
"BBohkAu7Nns",
"Uji4Y7K7-A0",
"NYO88vr119c",
,"Apa bisa buat aplikasi database?"
"bwBlfFLo2dU",
"9Ds2bLZNQOg",
,"binggung sendiri
PIVOT POWER
PIVOT TABEL
GRAFIK"
"KZALa9Mx7sY",
"mdD9YP3wvH8",
"om5_ptNOv2w",
,"Tutorial yg bermanfaat"
,"Terus cara cetaknya di print atau apa bro?"
,"Gimana kalau gambar posternya makanan khas gimana coba contohin dong pliss👍👍👍"
,"Gak guna"
,"Kak pake data gak buat searching? Karna word aku gak bisa searching"
,"senangnya"
,"Berguna bgt buat org yg laptopnya gk support buat download Ps sama corel"
,"Bang kalo template nya di ambil dari Google bisa ga"
,"Bang minta saran dong kok ms word aku gabisa pdhl udh masukin akun tp tetep gabisa, minta saran dong apa aku yang gaptek yaa"
"cxPpXf_hqi8",
"J_lIhC22EJc",
"8rFUL0P00uU",
"_KZRYjGFD8s",
"Mb0-EALueM0",
"RLYkJywL7Lo",
"AAmNx7XFF34",
,"Subscribe balik ya boss, thanks"
,"bagus"
,"cara nyimpan gamenya gimanaaa??????"
,"sangat membantu sekali, saya guru fisika SMAN 1 Melaya Jembrana-Bali, baru belajar membuat onenote trims......semoga sehat selalu Bu Rima mohon terus berbagi...."
,"ijin reupload boleh min?"
,"kalau beli lisensi offline dimana"
,"Microsoft Publisher yang tahun berapa?"
,"Yah, Publisher saya masih tahun 2007:("
,"Willows has a great experience with a good idea and I think that is a great thing"
,"Publihsher 2012"
,"Kak di playstore instal nya yang mana"
,"TRIMA KSIH SAHABAT"
"Q_saauhTIRY",
,"Save world"
"cpio7VCZ3wI",
,"A0"
"CQ3R8xCVwss",
"IXFuI3tnZv8",
"5nHgA1E4pUE",
"FGqgUm_OqXg",
,"untuk di playstore belum support kak"
"uGkOBWjPrAM",
