,text_bersih
316,faradiaanr spill cara daftar suhuu
317,Semangattt faraa
318,Manteb
319,titowes yuks daftar msib kack 
320,inpo magang merdeka kak
321,keren kak
322,pluviophileyy ah nggak kok kack
323,mkfikri langsung ke website kampus merdeka kak
324,xxrevita Alhamdulillah kack 
325,Semangat
326,rdfakhri tencuuu
327,mangatt tarisaa
328,sheeiiillaa Makaasii Sheilaa kamuu jugaa
329,Asikk diambil juga offeringnya mangatt
330,risataaa terimaaakasiii teehhwaitingg juga 
331,Ididiidid congratulations hahaha
332,arifudinsyah ditunggu twibonnya
333,
334,WowSemangat tarr 
335,piyakpiyak waaa iyaa terimakaacii
336,ikbalghajali10 
337,congratsss tarrrr
338,ipatfatmawatii makaasiii Ipaat
339,ephemeralsoobad sekarang apa tarr 
340,ikbalghajali10 besok ajalah
341,congratsss tarrrrr
342,anggieslstya makaaasii Anggie
343,ephemeralsoobad kenapa Komen woy wkwkkw
344,arifudinsyah u also comment in here brooo
345,Apa kabar re
346,Masa iyo
347,Alhamdulilah berkah ilmu nya ayanggg 
348,Keren pisan 
349,Love banyak banyak buat rizkaaa makasihh banyakkkk 
350,Congrats rizka berkah ilmu dan gelarnya
351,punten msib batch 1 numpang lewat
352,awhof permisi kang
353,fakhrinuralam alhamdulillah aamiin
354,sndiana17 
355,aldooo29 alhamdulillah aamiin ayaaaaaaaanggggggggg
356,dhiafauziahapra makasi aamiin aamiin
357,wahhh congratss rizkaAlhamdulillah semoga bermanfaat ya ilmunya
358,rapl1 aamiin aamiin thankyou apiii
359,Makasiii buat 5 bulan inii kaaa 
360,Congrats rizkaa makasih udah mau temenan dan bantuin akuu
361,hinaell luv yaa
362,Akhirnya lulus yaa gais wkwk
363,bingung kak
364,Infoo dek
365,hamdalahh ga sambat lg wkwk
366,gas ngipik kak
367,adekmuaa
368,Uda ga begadang lagi yaa zaaa wkwk
369,mantapp jolszzz
370,yok daftarr
371,kalo itu tetep mba
372,ya Allah cantike seee masyaAllah
373,aamiin makasii tp km jg cantik kak
374,
375,Cantike mba rizkaa 
376,and my boyfriendsssss kurang itu weh
377,maghfirahhan klo ini bingung mau tag siapa
378,wessss mantappppp
379,hanifaandika bisa aja ibuuu
380,
381,Idiw kewrennnnnnnnn
382,pujilestarii1 mohon doa restunya 
383,Selamat dan sukses fidyaa 
384,
385,Semangattt bebbbbb
386,arrumintan Terima kasih mbak Arrum
387,wahyuninrd 
388,dhaniay thankss gy kamu jugaa
389,semamgattt pipit
390,cindn terima kasih bnyakkk cin
391,Mau nanya apakah nanti ini mendapat kan sertifikat
392,michaelsinaga24 hallo kak sertifikat akan diberikan bagi peserta yang mengikuti challenge
393,Congrats dan semangat terus Erlina 
394,congrats bund
395,doraanggraaainiii mkasii bu dor
396,ratnapsari makasii mba ratna
397,wah congrats ya nok selamat menempuh SI semoga dilancarkan
398,yuulianti amiin mkasi mbaa
399,talithaazal aamiin tengkyu sus
400,Inspiringg polll 
